open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,symbol,symbol_simple,contract_type
2023-01-02 16:00:00,16729.2,16732.9,16704.0,16704.1,6548.028,2023-01-02 16:59:59.999,109495870.2904,30690,2533.872,42370692.8629,BTCUSDT,btc,PERPETUAL
2023-01-02 17:00:00,16704.1,16716.5,16702.6,16710.1,4115.314,2023-01-02 17:59:59.999,68756317.93,21280,1945.752,32509575.4269,BTCUSDT,btc,PERPETUAL
2023-01-02 18:00:00,16710.0,16725.8,16703.9,16718.3,3188.873,2023-01-02 18:59:59.999,53293242.1732,19523,1846.652,30862647.4495,BTCUSDT,btc,PERPETUAL
2023-01-02 19:00:00,16718.3,16732.1,16711.1,16730.5,2697.782,2023-01-02 19:59:59.999,45109236.6566,17084,1520.321,25421632.6812,BTCUSDT,btc,PERPETUAL
2023-01-02 20:00:00,16730.5,16732.0,16702.7,16722.8,3836.094,2023-01-02 20:59:59.999,64133889.6068,20797,1855.721,31023657.661,BTCUSDT,btc,PERPETUAL
2023-01-02 21:00:00,16722.7,16799.0,16715.0,16751.9,9106.205,2023-01-02 21:59:59.999,152574036.1134,40570,5750.746,96361074.8372,BTCUSDT,btc,PERPETUAL
2023-01-02 22:00:00,16751.9,16755.7,16685.1,16694.6,10723.212,2023-01-02 22:59:59.999,179269255.7086,55876,4623.017,77282965.747,BTCUSDT,btc,PERPETUAL
2023-01-02 23:00:00,16694.6,16717.4,16650.0,16666.0,11556.583,2023-01-02 23:59:59.999,192850515.1083,54506,4730.595,78957950.6616,BTCUSDT,btc,PERPETUAL
2023-01-03 00:00:00,16665.9,16699.7,16639.5,16689.1,8954.36,2023-01-03 00:59:59.999,149294774.8259,42606,4720.465,78712328.97,BTCUSDT,btc,PERPETUAL
2023-01-03 01:00:00,16689.0,16689.1,16645.5,16670.5,6321.721,2023-01-03 01:59:59.999,105337309.9633,33781,2886.846,48101025.0376,BTCUSDT,btc,PERPETUAL
2023-01-03 02:00:00,16670.4,16680.0,16665.2,16666.5,2974.963,2023-01-03 02:59:59.999,49603015.2198,18037,1498.826,24991064.9957,BTCUSDT,btc,PERPETUAL
2023-01-03 03:00:00,16666.5,16694.0,16661.5,16684.5,3801.419,2023-01-03 03:59:59.999,63403651.4116,20382,2180.64,36371097.845,BTCUSDT,btc,PERPETUAL
2023-01-03 04:00:00,16684.4,16691.2,16675.2,16678.0,2331.004,2023-01-03 04:59:59.999,38888347.7257,15680,1038.926,17333069.3787,BTCUSDT,btc,PERPETUAL
2023-01-03 05:00:00,16677.9,16721.9,16677.7,16720.0,5682.914,2023-01-03 05:59:59.999,94910769.0811,31130,3259.213,54433208.6919,BTCUSDT,btc,PERPETUAL
