open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,symbol,symbol_simple,contract_type
2022-12-31 16:00:00,246.83,247.11,246.56,246.73,25815.38,2022-12-31 16:59:59.999,6372628.0954,9204,12148.54,2998877.7547,BNBUSDT,bnb,PERPETUAL
2022-12-31 17:00:00,246.74,246.81,246.01,246.35,28771.96,2022-12-31 17:59:59.999,7088873.9804,10114,12907.37,3180227.9176,BNBUSDT,bnb,PERPETUAL
2022-12-31 18:00:00,246.35,246.51,246.31,246.42,12026.04,2022-12-31 18:59:59.999,2963418.9803,5260,6119.42,1507955.9214,BNBUSDT,bnb,PERPETUAL
2022-12-31 19:00:00,246.42,247.22,246.37,246.79,18682.2,2022-12-31 19:59:59.999,4610530.5394,7577,9562.89,2359975.9658,BNBUSDT,bnb,PERPETUAL
2022-12-31 20:00:00,246.79,247.03,246.57,246.83,13202.63,2022-12-31 20:59:59.999,3258916.5884,5761,6996.02,1726913.0932,BNBUSDT,bnb,PERPETUAL
2022-12-31 21:00:00,246.83,247.35,246.71,246.82,28078.3,2022-12-31 21:59:59.999,6936770.9848,8607,13334.67,3294786.5722,BNBUSDT,bnb,PERPETUAL
2022-12-31 22:00:00,246.82,247.21,245.56,246.13,38107.6,2022-12-31 22:59:59.999,9391917.4676,11719,14164.59,3492141.0664,BNBUSDT,bnb,PERPETUAL
2022-12-31 23:00:00,246.13,246.71,245.79,246.11,43394.29,2022-12-31 23:59:59.999,10687325.667,11511,19412.62,4782061.287,BNBUSDT,bnb,PERPETUAL
2023-01-01 00:00:00,246.11,246.59,245.27,245.58,54827.79,2023-01-01 00:59:59.999,13477938.9841,14740,23725.92,5833413.995,BNBUSDT,bnb,PERPETUAL
2023-01-01 01:00:00,245.57,245.88,245.34,245.82,25894.31,2023-01-01 01:59:59.999,6360401.5039,8277,13263.26,3257831.4275,BNBUSDT,bnb,PERPETUAL
2023-01-01 02:00:00,245.81,245.81,245.11,245.31,24809.81,2023-01-01 02:59:59.999,6089236.031,9011,11193.81,2747454.6881,BNBUSDT,bnb,PERPETUAL
2023-01-01 03:00:00,245.3,245.47,245.02,245.15,29035.71,2023-01-01 03:59:59.999,7119694.8883,9161,15423.46,3782049.1748,BNBUSDT,bnb,PERPETUAL
2023-01-01 04:00:00,245.15,245.22,243.5,243.67,75142.03,2023-01-01 04:59:59.999,18355972.2921,20805,32640.31,7972213.2357,BNBUSDT,bnb,PERPETUAL
2023-01-01 05:00:00,243.67,244.31,243.3,244.02,60872.53,2023-01-01 05:59:59.999,14842279.3026,16106,32093.08,7825751.1236,BNBUSDT,bnb,PERPETUAL
2023-01-01 06:00:00,244.02,244.33,243.81,243.84,30249.09,2023-01-01 06:59:59.999,7382965.5761,10709,13818.73,3372896.4973,BNBUSDT,bnb,PERPETUAL
2023-01-01 07:00:00,243.84,244.16,243.6,243.91,34331.98,2023-01-01 07:59:59.999,8372490.6879,10127,16931.63,4129075.2323,BNBUSDT,bnb,PERPETUAL
2023-01-01 08:00:00,243.91,243.99,243.25,243.44,30700.21,2023-01-01 08:59:59.999,7481060.8165,10216,13834.18,3371257.5138,BNBUSDT,bnb,PERPETUAL
2023-01-01 09:00:00,243.43,244.38,243.32,244.35,33655.8,2023-01-01 09:59:59.999,8207478.9457,10360,19998.33,4877217.8654,BNBUSDT,bnb,PERPETUAL
2023-01-01 10:00:00,244.36,244.38,243.88,244.28,20722.62,2023-01-01 10:59:59.999,5058878.3361,7511,10646.09,2598931.8628,BNBUSDT,bnb,PERPETUAL
2023-01-01 11:00:00,244.28,244.54,244.08,244.3,23245.08,2023-01-01 11:59:59.999,5677457.8792,8005,12020.86,2936182.2491,BNBUSDT,bnb,PERPETUAL
2023-01-01 12:00:00,244.3,244.56,244.0,244.19,23231.77,2023-01-01 12:59:59.999,5675523.1946,8595,10104.26,2468790.7097,BNBUSDT,bnb,PERPETUAL
2023-01-01 13:00:00,244.2,244.45,243.84,244.13,31168.34,2023-01-01 13:59:59.999,7608954.3603,10002,15569.57,3800679.6307,BNBUSDT,bnb,PERPETUAL
2023-01-01 14:00:00,244.13,244.34,243.89,243.93,19256.51,2023-01-01 14:59:59.999,4700847.7267,7153,9270.57,2263132.4163,BNBUSDT,bnb,PERPETUAL
